Unidade de Produção,Espécie,Volume Total (m³),Número de Árvores,Preço (R$/m³),Valor Estimado (R$)
AC_15,pau de remo,0.04272689432910687,1,700.0,29.908826030374808
AC_15,pau sangue casca fina,0.6994265014342812,6,600.0,419.6559008605687
AC_15,quariquara,0.4393658050752989,4,600.0,263.6194830451793
AC_15,samauma preta,2.2484320230491193,1,600.0,1349.0592138294714
AC_15,seringueira,2.419420856382758,5,600.0,1451.652513829655
AC_15,siparuna,0.31160387635387155,3,600.0,186.96232581232292
AC_15,sorocia,0.05190527961989834,1,600.0,31.143167771939005
AC_15,swarts,0.07219903880977191,1,600.0,43.319423285863145
AC_15,taxi formiga,0.302044008904947,2,600.0,181.22640534296818
AC_15,taxi preto,4.104817709443305,1,600.0,2462.890625665983
AC_15,triquilha,0.5701907719579443,3,600.0,342.11446317476657
AC_15,ucuuba,1.1784992601187865,7,600.0,707.0995560712719
AC_15,ucuuba sangue,0.10440381597110934,1,600.0,62.642289582665605
AC_15,urucurana,5.280594529499979,3,600.0,3168.3567176999873
AC_15,xixa,3.2322948953924158,2,600.0,1939.3769372354495
AC_150,abiu,0.353398508078972,2,600.0,212.0391048473832
AC_150,angelim pedra,0.041835918191730284,1,600.0,25.10155091503817
AC_150,apui,11.285466817184698,2,600.0,6771.280090310819
AC_150,aroeira,5.544865372987706,2,600.0,3326.9192237926236
AC_150,arvore morta,7.165750452358836,10,600.0,4299.450271415301
AC_150,assacu,11.195298485804749,5,600.0,6717.179091482849
AC_150,açai,0.9759352579100505,1,600.0,585.5611547460303
AC_150,bacuri,0.524316162005256,6,600.0,314.5896972031536
AC_150,balsamo,0.1066603926428627,1,600.0,63.99623558571762
AC_150,biorana,1.2515275081879507,4,600.0,750.9165049127704
AC_150,biorana vermelha,0.23176176730041181,1,600.0,139.0570603802471
AC_150,breu pitomba,9.188261158473576,26,600.0,5512.956695084145
AC_150,cacau,0.17749715294069623,3,600.0,106.49829176441774
AC_150,canela de velho,0.43132805096563925,5,650.0,280.3632331276655
AC_150,carapanauba,3.8446055984355834,3,600.0,2306.76335906135
AC_150,caucho,1.4808790412015858,1,600.0,888.5274247209514
AC_150,cinzeiro,0.6746956920490508,1,600.0,404.8174152294305
AC_150,cipo sangue,0.1761353409750956,1,600.0,105.68120458505736
AC_150,envira sapotinha,12.695771439923675,13,600.0,7617.462863954205
AC_150,envireira,0.6076241828013382,6,600.0,364.5745096808029
AC_150,envireira vassourinha,0.10478351988845987,1,600.0,62.87011193307592
AC_150,espinheiro preto,1.0639655621452413,1,600.0,638.3793372871447
AC_150,estalador,5.246126108663319,9,600.0,3147.6756651979913
AC_150,farinha seca,0.10728530175272225,2,600.0,64.37118105163334
AC_150,freijo,0.1730883531245918,1,600.0,103.85301187475508
AC_150,freijo branco,0.27474162432159455,2,600.0,164.84497459295673
AC_150,guaribeiro,5.291813117025356,2,600.0,3175.0878702152136
AC_150,guariuba,7.467638793507211,2,600.0,4480.583276104327
AC_150,inga,2.936665688493416,1,600.0,1761.9994130960497
AC_150,inga vermelha,0.050671726331655016,1,650.0,32.93662211557576
AC_150,ipe,1.7373154078942472,1,600.0,1042.3892447365483
