UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_113;4;6;3.022387252;7;120.8954901;280
AC_113;4;8;0.804475198;2;32.17900794;80
AC_113;4;9;1.337238642;4;53.48954569;160
AC_113;4;10;3.344546465;7;133.7818586;280
AC_113;4;11;3.708790775;1;148.351631;40
AC_113;4;12;5.525983998;1;221.0393599;40
AC_114;1;1;1.141056132;5;45.6422453;200
AC_114;1;2;3.457764419;5;138.3105768;200
AC_114;1;3;6.496166993;7;259.8466797;280
AC_114;1;4;2.387596181;7;95.50384722;280
AC_114;1;5;2.808120412;4;112.3248165;160
AC_114;1;6;3.160396504;8;126.4158602;320
AC_114;1;7;1.635469969;5;65.41879878;200
AC_114;1;8;0.418310332;4;16.7324133;160
AC_114;1;9;0.802153163;2;32.08612651;80
AC_114;1;10;6.402546081;6;256.1018432;240
AC_114;1;13;3.326351863;2;133.0540745;80
AC_114;1;15;1.572620922;1;62.9048369;40
AC_114;1;16;1.89683022;1;75.87320882;40
AC_114;1;17;1.525510144;1;61.02040574;40
AC_114;2;1;0.890740098;5;35.6296039;200
AC_114;2;2;3.442475621;8;137.6990248;320
AC_114;2;3;4.130083657;9;165.2033463;360
AC_114;2;4;1.033586268;5;41.34345072;200
AC_114;2;5;3.343985578;7;133.7594231;280
AC_114;2;6;1.701592329;7;68.06369317;280
AC_114;2;7;0.914271198;7;36.57084793;280
AC_114;2;8;2.71106975;8;108.44279;320
AC_114;2;9;0.646719481;4;25.86877923;160
AC_114;2;10;0.67873415;3;27.14936598;120
AC_114;2;11;9.032715649;3;361.3086259;120
AC_114;2;12;4.029909384;1;161.1963754;40
AC_114;2;13;1.253337398;1;50.13349592;40
AC_114;2;18;3.945522023;1;157.8208809;40
AC_114;2;19;2.826943093;1;113.0777237;40
AC_114;3;1;0.621616896;6;24.86467586;240
AC_114;3;2;0.964043483;5;38.56173932;200
AC_114;3;3;5.588832985;6;223.5533194;240
AC_114;3;4;0.462466216;2;18.49864865;80
AC_114;3;5;3.55663171;7;142.2652684;280
AC_114;3;6;1.562056707;6;62.48226828;240
AC_114;3;7;1.059496617;4;42.37986469;160
AC_114;3;8;4.830008978;7;193.2003591;280
AC_114;3;9;1.343070955;2;53.72283822;80
AC_114;3;10;4.256054204;2;170.2421682;80
AC_114;3;14;5.361099651;2;214.443986;80
AC_114;4;1;1.48456834;4;59.38273359;160
AC_114;4;2;2.596046252;9;103.8418501;360
AC_114;4;3;0.565346768;3;22.6138707;120
AC_114;4;4;0.74399446;7;29.75977838;280
AC_114;4;5;0.195400524;1;7.816020946;40
AC_114;4;6;1.208859438;5;48.35437753;200
AC_114;4;7;5.251593097;11;210.0637239;440
AC_114;4;8;0.865112226;4;34.60448905;160
AC_114;4;9;0.935395482;5;37.41581927;200
AC_114;4;10;4.386955473;9;175.4782189;360
AC_114;4;11;6.227171175;1;249.086847;40
AC_114;4;12;1.683524012;1;67.3409605;40
AC_114;4;17;2.968151066;1;118.7260426;40
